area,year,month,agg_id,total_crimes
3,2015,1,1700,12
3,2015,1,800,81
18,2015,1,300,148
8,2015,1,775,197
14,2015,1,800,80
19,2015,1,725,27
7,2015,1,775,196
2,2015,1,400,49
8,2015,1,400,15
10,2015,1,300,79
9,2015,1,850,79
6,2015,1,300,111
7,2015,1,800,79
4,2015,1,725,19
1,2015,1,800,28
3,2015,1,850,79
17,2015,1,725,20
10,2015,1,750,149
5,2015,1,300,70
12,2015,1,1900,110
17,2015,1,850,47
20,2015,1,775,149
7,2015,1,2400,19
4,2015,1,2400,28
16,2015,1,300,78
20,2015,1,300,175
10,2015,1,1700,11
4,2015,1,400,40
21,2015,1,1900,55
10,2015,1,800,110
19,2015,1,1700,31
2,2015,1,300,121
11,2015,1,800,78
12,2015,1,2400,28
17,2015,1,1700,9
5,2015,1,1900,77
7,2015,1,1700,11
16,2015,1,850,76
16,2015,1,800,76
9,2015,1,775,190
20,2015,1,1700,9
4,2015,1,1700,15
6,2015,1,400,29
3,2015,1,2400,43
3,2015,1,725,72
2,2015,1,850,45
6,2015,1,725,31
11,2015,1,750,189
10,2015,1,1900,76
6,2015,1,850,72
6,2015,1,2400,11
13,2015,1,400,72
12,2015,1,750,179
9,2015,1,300,110
6,2015,1,1700,10
5,2015,1,400,56
1,2015,1,400,73
19,2015,1,850,75
2,2015,1,725,73
14,2015,1,775,280
19,2015,1,2400,30
6,2015,1,800,56
12,2015,1,800,75
15,2015,1,750,180
16,2015,1,750,74
9,2015,1,1900,74
20,2015,1,750,128
5,2015,1,775,150
20,2015,1,850,56
1,2015,1,1900,57
9,2015,1,400,45
9,2015,1,750,139
21,2015,1,750,109
18,2015,1,800,46
21,2015,1,725,14
8,2015,1,725,18
8,2015,1,800,109
10,2015,1,850,57
21,2015,1,1700,15
9,2015,1,1700,21
1,2015,1,1700,5
20,2015,1,725,57
1,2015,1,300,152
16,2015,1,725,14
10,2015,1,400,21
16,2015,1,775,118
11,2015,1,725,21
14,2015,1,400,38
13,2015,1,1700,14
9,2015,1,800,107
8,2015,1,300,105
18,2015,1,775,104
1,2015,1,850,59
2,2015,1,2400,22
8,2015,1,2400,14
11,2015,1,2400,22
13,2015,1,725,59
2,2015,1,750,102
13,2015,1,800,43
15,2015,1,2400,22
15,2015,1,800,118
18,2015,1,2400,22
18,2015,1,750,130
18,2015,1,725,59
17,2015,1,800,100
20,2015,1,800,59
12,2015,1,400,118
12,2015,1,850,100
17,2015,1,775,219
15,2015,1,775,219
11,2015,1,850,100
8,2015,1,850,37
2,2015,1,1700,14
14,2015,1,2400,19
21,2015,1,2400,13
13,2015,1,850,99
12,2015,1,725,98
3,2015,1,400,54
7,2015,1,725,23
3,2015,1,775,218
9,2015,1,2400,23
11,2015,1,300,97
2,2015,1,775,127
21,2015,1,800,116
18,2015,1,400,60
8,2015,1,1700,6
8,2015,1,750,158
15,2015,1,850,61
7,2015,1,850,53
14,2015,1,1900,116
21,2015,1,775,216
13,2015,1,300,96
5,2015,1,850,96
15,2015,1,725,23
15,2015,1,300,95
4,2015,1,300,94
16,2015,1,2400,17
15,2015,1,400,41
5,2015,1,1700,24
21,2015,1,850,43
1,2015,1,725,53
13,2015,1,2400,24
14,2015,1,725,24
4,2015,1,850,92
18,2015,1,850,91
17,2015,1,400,35
17,2015,1,2400,35
17,2015,1,750,162
12,2015,1,300,209
21,2015,1,300,90
15,2015,1,1900,90
21,2015,1,400,24
17,2015,1,1900,63
6,2015,1,1900,90
19,2015,1,300,115
19,2015,1,750,126
3,2015,1,300,164
10,2015,1,725,25
2,2015,1,1900,64
13,2015,1,775,115
11,2015,1,400,35
11,2015,1,775,165
6,2015,1,750,129
20,2015,1,1900,87
5,2015,1,750,126
1,2015,1,2400,35
11,2015,1,1700,15
11,2015,1,1900,125
3,2015,1,750,140
5,2015,1,725,20
12,2015,1,775,165
4,2015,1,1900,65
4,2015,1,800,65
7,2015,1,1900,65
18,2015,1,1900,87
14,2015,1,750,205
17,2015,1,300,87
5,2015,1,2400,16
12,2015,1,1700,34
7,2015,1,300,87
13,2015,1,1900,65
4,2015,1,775,115
20,2015,1,400,52
18,2015,1,1700,25
19,2015,1,800,86
10,2015,1,2400,17
14,2015,1,850,86
19,2015,1,400,33
16,2015,1,400,33
6,2015,1,775,166
14,2015,1,1700,8
14,2015,1,300,85
1,2015,1,775,203
2,2015,1,800,67
7,2015,1,400,26
13,2015,1,750,113
5,2015,1,800,52
16,2015,1,1900,67
9,2015,1,725,17
10,2015,1,775,145
7,2015,1,750,167
19,2015,1,775,167
1,2015,1,750,85
15,2015,1,1700,20
4,2015,1,750,84
20,2015,1,2400,26
16,2015,1,1700,20
8,2015,1,1900,83
3,2015,1,1900,83
19,2015,1,1900,81
18,2016,1,750,128
6,2016,1,725,46
9,2016,1,800,140
5,2016,1,775,130
19,2016,1,1700,17
4,2016,1,775,131
19,2016,1,300,132
14,2016,1,2400,17
14,2016,1,1700,17
9,2016,1,750,133
11,2016,1,2400,17
6,2016,1,800,55
7,2016,1,750,138
6,2016,1,300,137
19,2016,1,400,55
16,2016,1,400,45
10,2016,1,1900,56
2,2016,1,725,57
21,2016,1,850,38
20,2016,1,400,38
2,2016,1,800,58
6,2016,1,775,222
14,2016,1,800,59
1,2016,1,400,60
8,2016,1,775,218
6,2016,1,400,37
17,2016,1,850,60
5,2016,1,400,37
18,2016,1,400,61
20,2016,1,725,62
13,2016,1,800,35
20,2016,1,800,63
5,2016,1,800,48
5,2016,1,725,35
15,2016,1,775,208
10,2016,1,850,49
16,2016,1,800,64
18,2016,1,800,34
15,2016,1,400,34
8,2016,1,850,65
11,2016,1,725,34
3,2016,1,2400,34
13,2016,1,1900,67
13,2016,1,2400,33
1,2016,1,725,68
9,2016,1,400,33
6,2016,1,1700,9
21,2016,1,1900,68
7,2016,1,800,69
8,2016,1,1900,69
21,2016,1,775,234
