area,year,month,agg_id,total_crimes
15,2018,11,800,98
12,2015,10,850,120
10,2016,11,850,81
3,2017,7,850,134
15,2017,8,300,123
10,2015,7,2400,14
16,2017,4,300,99
2,2015,4,800,37
12,2017,2,400,96
14,2015,8,750,159
21,2018,3,300,117
6,2015,2,725,24
3,2018,10,725,70
8,2018,1,850,55
2,2015,7,1700,9
6,2016,1,800,55
12,2016,9,850,137
9,2017,12,1700,21
8,2018,9,775,193
20,2015,7,750,146
19,2016,8,2400,20
6,2018,2,850,43
15,2018,1,2400,14
8,2015,4,850,29
5,2017,2,1900,109
2,2015,5,300,135
4,2016,12,400,57
13,2015,3,1900,89
3,2015,8,750,135
18,2015,4,300,201
19,2015,2,1900,74
18,2016,11,800,32
11,2017,4,300,131
17,2017,11,775,200
11,2017,3,750,139
7,2017,2,300,82
4,2015,3,775,115
5,2016,4,1900,105
17,2018,8,750,128
10,2016,11,1900,73
18,2015,2,800,29
14,2015,10,2400,18
3,2018,12,750,151
12,2018,10,1700,32
14,2017,6,400,35
15,2017,3,775,218
10,2018,3,1700,25
6,2018,12,2400,20
3,2016,7,850,101
1,2015,3,850,92
11,2015,8,300,110
3,2018,9,2400,34
3,2016,8,750,153
16,2016,10,750,78
16,2015,11,1900,67
18,2018,4,775,138
15,2017,8,400,35
20,2018,5,1900,115
15,2016,11,300,99
18,2017,9,750,109
17,2018,6,725,23
8,2018,8,750,203
15,2017,9,850,86
6,2016,7,400,40
21,2018,3,2400,15
1,2016,7,775,240
11,2017,8,300,121
6,2018,6,725,49
19,2015,10,1900,97
16,2017,11,800,64
12,2015,8,2400,29
18,2018,10,300,153
19,2018,8,1900,84
20,2017,5,400,49
3,2017,12,2400,31
11,2016,12,750,178
17,2017,11,1900,92
15,2017,5,800,87
18,2017,10,1900,110
16,2016,1,750,82
13,2015,9,800,13
11,2015,4,850,82
4,2016,6,775,98
6,2018,6,775,214
13,2017,7,750,119
16,2015,4,750,77
16,2016,12,750,95
5,2016,9,1900,94
4,2015,11,1700,12
8,2018,4,750,165
18,2016,6,850,105
15,2015,8,2400,30
3,2016,11,775,185
18,2017,12,775,122
5,2015,10,725,48
11,2015,2,850,63
12,2017,8,2400,55
21,2018,8,750,114
13,2017,7,1900,98
3,2016,6,300,189
9,2018,8,775,211
8,2017,4,725,15
7,2016,4,400,31
3,2017,2,775,212
7,2017,11,1900,64
3,2015,10,1900,110
16,2016,6,400,44
5,2016,2,1900,85
12,2018,1,800,47
12,2017,2,750,146
4,2015,11,725,23
20,2017,8,800,43
6,2017,5,1700,6
16,2016,6,1700,5
11,2018,12,850,81
1,2017,2,1700,4
20,2015,10,850,98
8,2016,11,1900,52
7,2017,5,750,140
20,2016,11,1700,22
11,2015,6,800,69
5,2017,8,400,68
4,2017,3,300,126
1,2017,11,775,253
2,2017,4,725,31
4,2015,9,1700,17
7,2016,3,750,120
4,2018,4,1900,69
14,2018,12,850,78
15,2018,8,775,259
17,2017,7,2400,12
18,2016,12,725,94
16,2018,3,725,16
7,2018,6,800,42
14,2018,12,2400,37
3,2016,11,2400,34
6,2017,7,400,79
1,2015,6,400,80
2,2018,8,725,63
6,2016,11,725,50
12,2015,4,850,123
9,2015,3,800,77
20,2015,7,1700,9
17,2016,7,750,186
2,2018,12,725,51
12,2018,6,850,113
6,2015,6,300,110
10,2016,3,300,96
11,2016,12,300,78
6,2016,2,400,39
13,2015,10,300,144
18,2018,1,300,144
7,2017,1,300,75
2,2016,9,300,136
19,2015,7,1900,102
17,2018,4,775,203
4,2017,5,400,58
6,2016,3,300,133
1,2018,5,300,205
8,2016,9,725,18
14,2018,8,2400,20
9,2018,4,400,49
1,2016,9,800,22
12,2016,11,800,61
2,2018,7,2400,22
8,2016,1,2400,19
12,2015,6,800,60
9,2015,4,300,127
13,2017,11,725,61
19,2015,2,725,15
1,2016,1,800,27
19,2015,4,750,111
6,2017,6,775,189
16,2016,9,800,66
5,2017,7,300,119
18,2015,6,1700,22
8,2017,3,750,198
3,2016,4,750,122
4,2016,10,850,110
15,2018,3,1700,1
20,2018,4,300,154
18,2016,4,725,53
4,2016,8,1900,81
21,2015,2,725,9
11,2017,8,1700,18
21,2017,9,2400,23
14,2017,12,725,21
4,2017,11,1700,22
21,2017,3,1700,19
15,2015,9,1900,77
15,2016,6,400,43
5,2017,1,850,73
18,2018,7,800,22
5,2016,7,725,24
1,2017,7,850,60
9,2016,2,2400,19
12,2016,9,800,38
9,2017,3,725,22
4,2016,4,1900,89
8,2017,12,2400,16
1,2018,1,400,73
10,2017,10,1900,52
8,2016,4,2400,12
9,2018,4,850,85
21,2015,2,2400,16
12,2017,11,850,117
17,2016,9,775,193
17,2018,12,300,101
18,2018,12,400,112
17,2018,4,725,19
21,2017,3,1900,70
11,2018,7,300,127
14,2017,4,1900,90
15,2015,3,725,20
7,2015,7,750,125
8,2018,4,800,49
1,2018,3,1900,108
1,2017,7,1900,101
10,2017,10,1700,14
9,2017,6,725,26
17,2017,1,850,80
5,2017,3,1700,15
4,2015,11,750,86
7,2016,8,1900,55
21,2015,12,850,62
6,2016,1,850,74
12,2016,11,850,115
17,2015,1,1700,9
5,2015,12,750,171
6,2016,5,850,62
11,2015,9,725,33
7,2015,8,300,83
11,2018,9,850,67
8,2016,7,775,195
19,2017,10,1700,45
1,2018,6,775,285
5,2017,10,300,120
13,2016,4,300,154
7,2018,1,400,36
3,2016,3,725,56
8,2018,9,750,228
11,2017,12,2400,16
8,2015,2,1900,62
18,2018,7,775,155
8,2017,1,750,175
10,2017,11,300,91
21,2017,4,1700,18
16,2016,11,775,103
8,2016,11,775,194
19,2016,10,1700,22
21,2015,10,300,106
9,2018,12,725,21
15,2016,8,1700,3
12,2015,11,300,167
1,2018,11,775,288
7,2017,1,775,176
7,2015,8,725,32
15,2015,7,800,66
